Date,Time,Current (dB-A),Max (dB-A), Average (dB-A)
Apr 12, 2018,9:16:55 PM,52,62,47
Apr 12, 2018,9:16:55 PM,49,62,47
Apr 12, 2018,9:16:55 PM,51,62,47
Apr 12, 2018,9:16:55 PM,50,62,47
Apr 12, 2018,9:16:56 PM,48,62,47
Apr 12, 2018,9:16:56 PM,49,62,47
Apr 12, 2018,9:16:56 PM,48,62,47
Apr 12, 2018,9:16:56 PM,46,62,47
Apr 12, 2018,9:16:56 PM,47,62,47
Apr 12, 2018,9:16:57 PM,47,62,47
Apr 12, 2018,9:16:57 PM,47,62,47
Apr 12, 2018,9:16:57 PM,46,62,47
Apr 12, 2018,9:16:57 PM,46,62,47
Apr 12, 2018,9:16:57 PM,46,62,47
Apr 12, 2018,9:16:58 PM,46,62,47
Apr 12, 2018,9:16:58 PM,46,62,47
Apr 12, 2018,9:16:58 PM,45,62,47
Apr 12, 2018,9:16:58 PM,46,62,47
Apr 12, 2018,9:16:58 PM,46,62,47
Apr 12, 2018,9:16:59 PM,45,62,47
Apr 12, 2018,9:16:59 PM,45,62,47
Apr 12, 2018,9:16:59 PM,45,62,47
Apr 12, 2018,9:16:59 PM,44,62,47
Apr 12, 2018,9:16:59 PM,44,62,47
Apr 12, 2018,9:17:00 PM,44,62,47
Apr 12, 2018,9:17:00 PM,45,62,47
Apr 12, 2018,9:17:00 PM,45,62,47
Apr 12, 2018,9:17:00 PM,45,62,47
Apr 12, 2018,9:17:00 PM,45,62,47
Apr 12, 2018,9:17:01 PM,44,62,47
Apr 12, 2018,9:17:01 PM,44,62,47
Apr 12, 2018,9:17:01 PM,44,62,47
Apr 12, 2018,9:17:01 PM,44,62,47
Apr 12, 2018,9:17:01 PM,44,62,47
Apr 12, 2018,9:17:02 PM,44,62,47
Apr 12, 2018,9:17:02 PM,44,62,47
Apr 12, 2018,9:17:02 PM,44,62,47
Apr 12, 2018,9:17:02 PM,45,62,47
Apr 12, 2018,9:17:02 PM,45,62,47
Apr 12, 2018,9:17:03 PM,45,62,47
Apr 12, 2018,9:17:03 PM,45,62,47
Apr 12, 2018,9:17:03 PM,44,62,47
Apr 12, 2018,9:17:03 PM,44,62,47
Apr 12, 2018,9:17:03 PM,44,62,47
Apr 12, 2018,9:17:04 PM,44,62,47
Apr 12, 2018,9:17:04 PM,44,62,47
Apr 12, 2018,9:17:04 PM,44,62,47
Apr 12, 2018,9:17:04 PM,43,62,47
Apr 12, 2018,9:17:04 PM,43,62,47
Apr 12, 2018,9:17:05 PM,44,62,47
Apr 12, 2018,9:17:05 PM,44,62,47
Apr 12, 2018,9:17:05 PM,44,62,47
Apr 12, 2018,9:17:05 PM,44,62,46
Apr 12, 2018,9:17:05 PM,44,62,46
Apr 12, 2018,9:17:06 PM,44,62,46
Apr 12, 2018,9:17:06 PM,43,62,46
Apr 12, 2018,9:17:06 PM,42,62,46
Apr 12, 2018,9:17:06 PM,43,62,46
Apr 12, 2018,9:17:06 PM,44,62,46
Apr 12, 2018,9:17:07 PM,44,62,46
Apr 12, 2018,9:17:07 PM,44,62,46
Apr 12, 2018,9:17:07 PM,44,62,46
Apr 12, 2018,9:17:07 PM,43,62,46
Apr 12, 2018,9:17:07 PM,45,62,46
Apr 12, 2018,9:17:08 PM,44,62,46
Apr 12, 2018,9:17:08 PM,44,62,46
Apr 12, 2018,9:17:08 PM,46,62,46
Apr 12, 2018,9:17:08 PM,46,62,46
Apr 12, 2018,9:17:08 PM,44,62,46
Apr 12, 2018,9:17:09 PM,44,62,46
Apr 12, 2018,9:17:09 PM,44,62,46
Apr 12, 2018,9:17:09 PM,45,62,46
Apr 12, 2018,9:17:09 PM,45,62,46
Apr 12, 2018,9:17:09 PM,44,62,46
Apr 12, 2018,9:17:10 PM,44,62,46
Apr 12, 2018,9:17:10 PM,44,62,46
Apr 12, 2018,9:17:10 PM,44,62,46
Apr 12, 2018,9:17:10 PM,43,62,46
Apr 12, 2018,9:17:10 PM,44,62,46
Apr 12, 2018,9:17:11 PM,44,62,46
Apr 12, 2018,9:17:11 PM,44,62,46
Apr 12, 2018,9:17:11 PM,44,62,46
Apr 12, 2018,9:17:11 PM,45,62,46
Apr 12, 2018,9:17:11 PM,45,62,46
Apr 12, 2018,9:17:12 PM,45,62,46
Apr 12, 2018,9:17:12 PM,44,62,46
Apr 12, 2018,9:17:12 PM,44,62,46
Apr 12, 2018,9:17:12 PM,44,62,46
Apr 12, 2018,9:17:12 PM,44,62,46
Apr 12, 2018,9:17:13 PM,44,62,46
Apr 12, 2018,9:17:13 PM,45,62,46
Apr 12, 2018,9:17:13 PM,45,62,46
Apr 12, 2018,9:17:13 PM,44,62,46
Apr 12, 2018,9:17:13 PM,44,62,46
Apr 12, 2018,9:17:14 PM,45,62,46
Apr 12, 2018,9:17:14 PM,46,62,46
Apr 12, 2018,9:17:14 PM,48,62,46
Apr 12, 2018,9:17:14 PM,47,62,46
Apr 12, 2018,9:17:14 PM,47,62,46
Apr 12, 2018,9:17:15 PM,45,62,46
Apr 12, 2018,9:17:15 PM,44,62,46
Apr 12, 2018,9:17:15 PM,45,62,46
Apr 12, 2018,9:17:15 PM,52,62,46
Apr 12, 2018,9:17:15 PM,54,62,46
Apr 12, 2018,9:17:16 PM,48,62,46
Apr 12, 2018,9:17:16 PM,44,62,46
Apr 12, 2018,9:17:16 PM,43,62,46
Apr 12, 2018,9:17:16 PM,43,62,46
Apr 12, 2018,9:17:16 PM,45,62,46
Apr 12, 2018,9:17:17 PM,49,62,46
Apr 12, 2018,9:17:17 PM,43,62,46
Apr 12, 2018,9:17:59 PM,43,62,46
